 11 TEFF'S       12 LOG G'S       6 FE.H'S        4 INDICES  (1 Sept 2005)
 1.672 1.637 1.530 1.474 1.390 1.255 1.138 1.033 0.935 0.838 0.737
 1.788 1.665 1.530 1.469 1.390 1.260 1.140 1.028 0.924 0.826 0.734
 1.843 1.687 1.538 1.477 1.400 1.269 1.145 1.028 0.919 0.819 0.730
 1.873 1.707 1.556 1.495 1.413 1.283 1.154 1.030 0.916 0.815 0.730
 [Fe/H] =  0.30: Color Index = B-V
 1.715 1.777 1.815 1.848 1.800 1.693 1.550 1.385 1.213 1.047 0.900
 1.690 1.745 1.773 1.796 1.733 1.631 1.496 1.341 1.179 1.022 0.882
 1.665 1.709 1.732 1.742 1.670 1.568 1.440 1.297 1.147 1.001 0.868
 1.645 1.679 1.691 1.687 1.618 1.511 1.388 1.254 1.117 0.982 0.856
 1.626 1.653 1.654 1.637 1.570 1.463 1.345 1.220 1.091 0.964 0.842
 1.612 1.636 1.621 1.594 1.528 1.418 1.304 1.186 1.067 0.947 0.829
 1.620 1.634 1.595 1.559 1.494 1.383 1.270 1.157 1.043 0.930 0.819
 1.647 1.650 1.578 1.524 1.470 1.349 1.235 1.125 1.019 0.914 0.809
 1.717 1.677 1.566 1.506 1.452 1.324 1.208 1.101 0.999 0.900 0.802
 1.833 1.705 1.566 1.501 1.444 1.307 1.187 1.080 0.981 0.887 0.795
 1.888 1.727 1.570 1.503 1.440 1.301 1.178 1.068 0.968 0.876 0.789
 1.918 1.747 1.577 1.513 1.438 1.299 1.175 1.064 0.963 0.871 0.787
 [Fe/H] = -3.00: Color Index = V-R
 1.985 1.659 1.360 1.173 1.035 0.877 0.727 0.593 0.481 0.398 0.352
 1.883 1.566 1.233 1.084 0.965 0.809 0.674 0.560 0.468 0.397 0.348
 1.786 1.473 1.129 1.002 0.900 0.752 0.632 0.535 0.458 0.397 0.347
 1.681 1.377 1.051 0.936 0.838 0.708 0.602 0.517 0.449 0.393 0.346
 1.551 1.276 0.980 0.893 0.787 0.674 0.581 0.505 0.442 0.390 0.345
 1.427 1.188 0.937 0.853 0.754 0.652 0.567 0.497 0.438 0.389 0.346
 1.305 1.124 0.909 0.832 0.737 0.643 0.562 0.494 0.437 0.390 0.350
 1.232 1.081 0.890 0.816 0.728 0.639 0.561 0.494 0.438 0.391 0.354
 1.199 1.058 0.886 0.810 0.732 0.646 0.568 0.500 0.442 0.395 0.359
 1.205 1.060 0.890 0.820 0.743 0.659 0.580 0.508 0.447 0.398 0.364
 1.229 1.081 0.903 0.830 0.761 0.677 0.595 0.520 0.455 0.403 0.369
 1.258 1.103 0.922 0.845 0.785 0.698 0.612 0.533 0.464 0.410 0.375
 [Fe/H] = -2.00: Color Index = V-R
 2.005 1.679 1.326 1.096 0.953 0.842 0.718 0.595 0.485 0.401 0.355
 1.903 1.586 1.213 1.013 0.882 0.775 0.666 0.563 0.472 0.400 0.352
 1.806 1.493 1.119 0.948 0.816 0.720 0.626 0.538 0.460 0.396 0.350
 1.701 1.397 1.044 0.884 0.766 0.676 0.593 0.519 0.453 0.397 0.350
 1.571 1.296 0.989 0.841 0.728 0.643 0.569 0.504 0.446 0.395 0.350
 1.447 1.208 0.950 0.817 0.708 0.623 0.553 0.493 0.442 0.396 0.351
 1.325 1.144 0.920 0.807 0.702 0.618 0.548 0.490 0.440 0.395 0.353
 1.252 1.101 0.910 0.813 0.706 0.619 0.548 0.489 0.440 0.397 0.357
 1.219 1.078 0.906 0.820 0.717 0.630 0.557 0.496 0.444 0.400 0.360
 1.225 1.080 0.910 0.830 0.733 0.648 0.573 0.507 0.451 0.404 0.365
 1.249 1.101 0.923 0.840 0.756 0.667 0.588 0.519 0.460 0.411 0.373
 1.278 1.123 0.942 0.855 0.781 0.689 0.606 0.533 0.471 0.420 0.380
 [Fe/H] = -1.00: Color Index = V-R
 2.055 1.729 1.243 1.016 0.860 0.770 0.677 0.585 0.499 0.423 0.362
 1.953 1.636 1.164 0.965 0.815 0.721 0.635 0.557 0.486 0.421 0.360
 1.856 1.543 1.090 0.929 0.782 0.685 0.604 0.535 0.473 0.416 0.359
 1.751 1.447 1.040 0.900 0.760 0.661 0.582 0.517 0.462 0.411 0.358
 1.621 1.346 1.005 0.881 0.752 0.648 0.568 0.505 0.453 0.406 0.358
 1.497 1.258 0.982 0.865 0.753 0.643 0.560 0.497 0.448 0.405 0.360
 1.375 1.194 0.967 0.857 0.756 0.643 0.559 0.496 0.447 0.404 0.361
 1.302 1.151 0.966 0.869 0.764 0.650 0.564 0.499 0.448 0.406 0.365
 1.269 1.128 0.968 0.882 0.779 0.664 0.575 0.507 0.454 0.410 0.369
 1.275 1.130 0.978 0.898 0.799 0.682 0.591 0.520 0.463 0.416 0.374
 1.299 1.151 0.997 0.914 0.821 0.706 0.612 0.536 0.475 0.424 0.380
 1.328 1.173 1.022 0.935 0.846 0.732 0.635 0.554 0.487 0.432 0.388
 [Fe/H] = -0.50: Color Index = V-R
 2.171 1.748 1.293 1.015 0.827 0.748 0.663 0.577 0.495 0.420 0.357
 2.039 1.652 1.214 0.987 0.814 0.713 0.626 0.550 0.482 0.419 0.359
 1.911 1.554 1.140 0.960 0.803 0.691 0.603 0.533 0.474 0.419 0.361
 1.790 1.467 1.090 0.940 0.798 0.675 0.585 0.519 0.467 0.418 0.363
 1.685 1.377 1.055 0.925 0.794 0.667 0.576 0.511 0.461 0.416 0.365
 1.577 1.300 1.032 0.915 0.798 0.668 0.575 0.508 0.458 0.414 0.367
 1.493 1.247 1.017 0.907 0.803 0.673 0.578 0.508 0.456 0.413 0.370
 1.435 1.206 1.016 0.916 0.812 0.682 0.585 0.514 0.460 0.416 0.373
 1.402 1.183 1.018 0.931 0.832 0.700 0.600 0.525 0.468 0.421 0.377
 1.390 1.185 1.028 0.949 0.854 0.721 0.620 0.543 0.482 0.431 0.383
 1.393 1.206 1.047 0.966 0.879 0.747 0.643 0.561 0.496 0.441 0.390
 1.398 1.228 1.072 0.990 0.907 0.778 0.671 0.583 0.511 0.450 0.397
 [Fe/H] =  0.00: Color Index = V-R
 2.376 1.869 1.333 1.049 0.857 0.744 0.653 0.577 0.511 0.448 0.382
 2.207 1.750 1.254 1.020 0.844 0.726 0.633 0.558 0.495 0.438 0.380
 2.043 1.635 1.180 0.995 0.833 0.711 0.618 0.546 0.487 0.434 0.379
 1.899 1.528 1.130 0.970 0.828 0.702 0.608 0.537 0.481 0.431 0.379
 1.779 1.435 1.095 0.960 0.824 0.697 0.602 0.531 0.476 0.428 0.379
 1.667 1.358 1.072 0.946 0.825 0.698 0.602 0.530 0.474 0.427 0.380
 1.574 1.294 1.057 0.942 0.829 0.703 0.606 0.531 0.473 0.426 0.383
 1.498 1.251 1.050 0.947 0.838 0.714 0.614 0.536 0.474 0.426 0.386
 1.459 1.228 1.046 0.952 0.852 0.727 0.625 0.543 0.479 0.429 0.390
 1.446 1.230 1.050 0.960 0.868 0.745 0.643 0.559 0.492 0.439 0.397
 1.447 1.251 1.063 0.970 0.887 0.768 0.665 0.578 0.507 0.450 0.406
 1.448 1.273 1.087 0.980 0.907 0.790 0.687 0.599 0.525 0.465 0.418
 [Fe/H] =  0.30: Color Index = V-R
 2.541 2.005 1.383 1.115 0.897 0.779 0.684 0.605 0.533 0.461 0.382
 2.348 1.847 1.304 1.076 0.884 0.762 0.667 0.590 0.524 0.460 0.390
 2.175 1.711 1.230 1.045 0.873 0.751 0.655 0.579 0.515 0.456 0.395
 2.023 1.591 1.180 1.020 0.868 0.745 0.648 0.571 0.508 0.452 0.397
 1.881 1.500 1.145 1.001 0.864 0.743 0.645 0.566 0.502 0.447 0.397
 1.762 1.408 1.122 0.985 0.865 0.743 0.644 0.563 0.498 0.444 0.398
 1.650 1.344 1.107 0.981 0.869 0.749 0.648 0.564 0.496 0.442 0.400
 1.572 1.301 1.100 0.983 0.878 0.760 0.657 0.569 0.497 0.441 0.402
 1.523 1.278 1.096 0.990 0.892 0.775 0.670 0.579 0.503 0.444 0.404
 1.500 1.280 1.100 1.000 0.908 0.790 0.684 0.592 0.515 0.454 0.409
