#Teff LogG F606-F814
3800. 5.5 1.3025
3900. -0.5 1.4934
3900. 0.0 1.37
3900. 0.5 1.2856
3900. 1.0 1.2282
3900. 1.5 1.1942
3900. 2.0 1.1757
3900. 2.5 1.172
3900. 3.0 1.1864
3900. 3.5 1.1963
3900. 4.0 1.2035
3900. 4.5 1.2123
3900. 5.0 1.2239
3900. 5.5 1.2391
4000. -0.5 1.4247
4000. 0.0 1.3087
4000. 0.5 1.2268
4000. 1.0 1.1727
4000. 1.5 1.1397
4000. 2.0 1.1219
4000. 2.5 1.1143
4000. 3.0 1.1265
4000. 3.5 1.1417
4000. 4.0 1.1515
4000. 4.5 1.1604
4000. 5.0 1.1706
4000. 5.5 1.1827
4100. -0.5 1.3593
4100. 0.0 1.2512
4100. 0.5 1.1733
4100. 1.0 1.1223
4100. 1.5 1.0898
4100. 2.0 1.0712
4100. 2.5 1.0619
4100. 3.0 1.0673
4100. 3.5 1.0841
4100. 4.0 1.1006
4100. 4.5 1.1121
4100. 5.0 1.1211
4100. 5.5 1.1327
4200. -0.5 1.2959
4200. 0.0 1.1967
4200. 0.5 1.1235
4200. 1.0 1.0747
4200. 1.5 1.0438
4200. 2.0 1.0247
4200. 2.5 1.0156
4200. 3.0 1.0175
4200. 3.5 1.031
4200. 4.0 1.0478
4200. 4.5 1.0639
4200. 5.0 1.0745
4200. 5.5 1.0848
4300. -0.5 1.2332
4300. 0.0 1.1424
4300. 0.5 1.076
4300. 1.0 1.0306
4300. 1.5 1.0007
4300. 2.0 0.9832
4300. 2.5 0.9735
4300. 3.0 0.9735
4300. 3.5 0.9811
4300. 4.0 0.9981
4300. 4.5 1.0154
4300. 5.0 1.0308
4300. 5.5 1.0402
4400. -0.5 1.1709
4400. 0.0 1.0915
4400. 0.5 1.0316
4400. 1.0 0.9886
4400. 1.5 0.9613
4400. 2.0 0.9441
4400. 2.5 0.9381
4400. 3.0 0.9347
4400. 3.5 0.9397
4400. 4.0 0.9514
4400. 4.5 0.9696
4400. 5.0 0.9848
4400. 5.5 0.997
4500. -0.5 1.1118
4500. 0.0 1.04
4500. 0.5 0.9875
4500. 1.0 0.9494
4500. 1.5 0.9241
4500. 2.0 0.9079
4500. 2.5 0.9025
4500. 3.0 0.8993
4500. 3.5 0.9027
4500. 4.0 0.9103
4500. 4.5 0.9266
4500. 5.0 0.9427
4500. 5.5 0.9558
4600. -0.5 1.0537
4600. 0.0 0.9911
4600. 0.5 0.9436
4600. 1.0 0.9113
4600. 1.5 0.8897
4600. 2.0 0.875
4600. 2.5 0.8692
4600. 3.0 0.8657
4600. 3.5 0.8692
4600. 4.0 0.8726
4600. 4.5 0.8863
4600. 5.0 0.9016
4600. 5.5 0.9159
4700. -0.5 0.9963
4700. 0.0 0.9418
4700. 0.5 0.9026
4700. 1.0 0.8744
4700. 1.5 0.8554
4700. 2.0 0.8433
4700. 2.5 0.8383
4700. 3.0 0.8354
4700. 3.5 0.8387
4700. 4.0 0.8405
4700. 4.5 0.8495
4700. 5.0 0.8634
4700. 5.5 0.8787
4800. -0.5 0.9432
4800. 0.0 0.8959
4800. 0.5 0.863
4800. 1.0 0.8386
4800. 1.5 0.8235
4800. 2.0 0.8148
4800. 2.5 0.8086
4800. 3.0 0.8069
4800. 3.5 0.8098
4800. 4.0 0.8115
4800. 4.5 0.8188
4800. 5.0 0.8287
4800. 5.5 0.8426
4900. -0.5 0.8931
4900. 0.0 0.8521
4900. 0.5 0.8241
4900. 1.0 0.8045
4900. 1.5 0.7923
4900. 2.0 0.7835
4900. 2.5 0.781
4900. 3.0 0.7792
4900. 3.5 0.7827
4900. 4.0 0.7837
4900. 4.5 0.7896
4900. 5.0 0.7975
4900. 5.5 0.8094
5000. -0.5 0.8449
5000. 0.0 0.8109
5000. 0.5 0.7869
5000. 1.0 0.771
5000. 1.5 0.7613
5000. 2.0 0.7548
5000. 2.5 0.7536
5000. 3.0 0.7526
5000. 3.5 0.7566
5000. 4.0 0.7571
5000. 4.5 0.7624
5000. 5.0 0.7694
5000. 5.5 0.7765
5100. -0.5 0.8035
5100. 0.0 0.7717
5100. 0.5 0.7515
5100. 1.0 0.7395
5100. 1.5 0.7323
5100. 2.0 0.7277
5100. 2.5 0.7273
5100. 3.0 0.7272
5100. 3.5 0.7316
5100. 4.0 0.7324
5100. 4.5 0.7375
5100. 5.0 0.7399
5100. 5.5 0.7479
5200. -0.5 0.7636
5200. 0.0 0.7351
5200. 0.5 0.7179
5200. 1.0 0.7085
5200. 1.5 0.7023
5200. 2.0 0.701
5200. 2.5 0.7017
5200. 3.0 0.7025
5200. 3.5 0.7074
5200. 4.0 0.7085
5200. 4.5 0.7135
5200. 5.0 0.7153
5200. 5.5 0.7215
5300. -0.5 0.7244
5300. 0.0 0.7013
5300. 0.5 0.6861
5300. 1.0 0.6775
5300. 1.5 0.6752
5300. 2.0 0.675
5300. 2.5 0.6767
5300. 3.0 0.6787
5300. 3.5 0.6837
5300. 4.0 0.6854
5300. 4.5 0.6904
5300. 5.0 0.6919
5300. 5.5 0.6968
5400. -0.5 0.6921
5400. 0.0 0.6687
5400. 0.5 0.6562
5400. 1.0 0.6499
5400. 1.5 0.6488
5400. 2.0 0.6497
5400. 2.5 0.6507
5400. 3.0 0.6554
5400. 3.5 0.6607
5400. 4.0 0.6635
5400. 4.5 0.6682
5400. 5.0 0.6696
5400. 5.5 0.6737
5500. -0.5 0.6505
5500. 0.0 0.6389
5500. 0.5 0.6261
5500. 1.0 0.6226
5500. 1.5 0.6224
5500. 2.0 0.6239
5500. 2.5 0.6274
5500. 3.0 0.6326
5500. 3.5 0.6383
5500. 4.0 0.6418
5500. 4.5 0.6466
5500. 5.0 0.6481
5500. 5.5 0.6517
5600. -0.5 0.6204
5600. 0.0 0.6085
5600. 0.5 0.5988
5600. 1.0 0.595
5600. 1.5 0.5976
5600. 2.0 0.6
5600. 2.5 0.6046
5600. 3.0 0.6104
5600. 3.5 0.6141
5600. 4.0 0.6205
5600. 4.5 0.6254
5600. 5.0 0.6274
5600. 5.5 0.6307
5700. -0.5 0.5896
5700. 0.0 0.579
5700. 0.5 0.5707
5700. 1.0 0.5692
5700. 1.5 0.5728
5700. 2.0 0.5766
5700. 2.5 0.5826
5700. 3.0 0.5886
5700. 3.5 0.5931
5700. 4.0 0.5997
5700. 4.5 0.6022
5700. 5.0 0.6074
5700. 5.5 0.6082
5800. -0.5 0.5592
5800. 0.0 0.5508
5800. 0.5 0.5474
5800. 1.0 0.5434
5800. 1.5 0.549
5800. 2.0 0.553
5800. 2.5 0.5604
5800. 3.0 0.5655
5800. 3.5 0.5726
5800. 4.0 0.5794
5800. 4.5 0.5825
5800. 5.0 0.5878
5800. 5.5 0.5887
5900. 0.0 0.524
5900. 0.5 0.522
5900. 1.0 0.52
5900. 1.5 0.5254
5900. 2.0 0.5304
5900. 2.5 0.5365
5900. 3.0 0.5447
5900. 3.5 0.5524
5900. 4.0 0.5595
5900. 4.5 0.5633
5900. 5.0 0.5688
5900. 5.5 0.5701
6000. 0.0 0.4963
6000. 0.5 0.497
6000. 1.0 0.4949
6000. 1.5 0.5016
6000. 2.0 0.5081
6000. 2.5 0.5152
6000. 3.0 0.5247
6000. 3.5 0.5326
6000. 4.0 0.538
6000. 4.5 0.5447
6000. 5.0 0.5502
6000. 5.5 0.5521
6100. 0.0 0.46998
6100. 0.5 0.4713
6100. 1.0 0.4735
6100. 1.5 0.4787
6100. 2.0 0.4861
6100. 2.5 0.4939
6100. 3.0 0.5044
6100. 3.5 0.5137
6100. 4.0 0.5194
6100. 4.5 0.5263
6100. 5.0 0.5296
6100. 5.5 0.5346
6200. 0.0 0.44473
6200. 0.5 0.44705
6200. 1.0 0.45138
6200. 1.5 0.45617
6200. 2.0 0.4641
6200. 2.5 0.4733
6200. 3.0 0.4843
6200. 3.5 0.4919
6200. 4.0 0.5009
6200. 4.5 0.5082
6200. 5.0 0.5123
6200. 5.5 0.5175
6300. 0.0 0.41999
6300. 0.5 0.42404
6300. 1.0 0.42693
6300. 1.5 0.43394
6300. 2.0 0.44251
6300. 2.5 0.45214
6300. 3.0 0.4642
6300. 3.5 0.4729
6300. 4.0 0.4828
6300. 4.5 0.4905
6300. 5.0 0.4954
6300. 5.5 0.5009
6400. 0.5 0.39762
6400. 1.0 0.40178
6400. 1.5 0.41156
6400. 2.0 0.42044
6400. 2.5 0.43145
6400. 3.0 0.44457
6400. 3.5 0.454
6400. 4.0 0.4648
6400. 4.5 0.4711
6400. 5.0 0.4789
6400. 5.5 0.4845
6500. 0.5 0.37248
6500. 1.0 0.38521
6500. 1.5 0.38969
6500. 2.0 0.3993
6500. 2.5 0.41081
6500. 3.0 0.42173
6500. 3.5 0.43526
6500. 4.0 0.44698
6500. 4.5 0.4542
6500. 5.0 0.4625
6500. 5.5 0.4677
6600. 0.5 0.35094
6600. 1.0 0.36403
6600. 1.5 0.3677
6600. 2.0 0.3784
6600. 2.5 0.38973
6600. 3.0 0.40199
6600. 3.5 0.41665
6600. 4.0 0.42688
6600. 4.5 0.43757
6600. 5.0 0.44641
6600. 5.5 0.4509
6700. 0.5 0.32938
6700. 1.0 0.3434
6700. 1.5 0.34623
6700. 2.0 0.35703
6700. 2.5 0.3696
6700. 3.0 0.38233
6700. 3.5 0.39815
6700. 4.0 0.40938
6700. 4.5 0.42106
6700. 5.0 0.4305
6700. 5.5 0.436
6800. 0.5 0.30773
6800. 1.0 0.32318
6800. 1.5 0.32575
6800. 2.0 0.33621
6800. 2.5 0.34933
6800. 3.0 0.36273
6800. 3.5 0.37967
6800. 4.0 0.39202
6800. 4.5 0.40453
6800. 5.0 0.41477
6800. 5.5 0.42114
6900. 0.5 0.28594
6900. 1.0 0.29996
6900. 1.5 0.3028
6900. 2.0 0.31574
6900. 2.5 0.32916
6900. 3.0 0.34714
6900. 3.5 0.36189
6900. 4.0 0.37452
6900. 4.5 0.38816
6900. 5.0 0.3972
6900. 5.5 0.40647
7000. 0.5 0.26683
7000. 1.0 0.27501
7000. 1.5 0.28216
7000. 2.0 0.29573
7000. 2.5 0.30921
7000. 3.0 0.32831
7000. 3.5 0.34334
7000. 4.0 0.35719
7000. 4.5 0.3717
7000. 5.0 0.38213
7000. 5.5 0.392
7200. 0.5 0.23836
7200. 1.0 0.23737
7200. 1.5 0.25466
7200. 2.0 0.25348
7200. 2.5 0.27026
7200. 3.0 0.29047
7200. 3.5 0.3065
7200. 4.0 0.32258
7200. 4.5 0.33938
7200. 5.0 0.35175
7200. 5.5 0.36324
7400. 1.0 0.19852
7400. 1.5 0.21847
7400. 2.0 0.22525
7400. 2.5 0.23791
7400. 3.0 0.25367
7400. 3.5 0.27068
7400. 4.0 0.28867
7400. 4.5 0.30789
7400. 5.0 0.32163
7400. 5.5 0.3351
7600. 1.0 0.16854
7600. 1.5 0.18621
7600. 2.0 0.1904
7600. 2.5 0.20206
7600. 3.0 0.21793
7600. 3.5 0.23599
7600. 4.0 0.25417
7600. 4.5 0.27236
7600. 5.0 0.29166
7600. 5.5 0.30525
7800. 1.0 0.14446
7800. 1.5 0.15112
7800. 2.0 0.15771
7800. 2.5 0.16799
7800. 3.0 0.18376
7800. 3.5 0.20183
7800. 4.0 0.22066
7800. 4.5 0.24437
7800. 5.0 0.26229
7800. 5.5 0.27776
8000. 1.0 0.12833
8000. 1.5 0.12235
8000. 2.0 0.12448
8000. 2.5 0.13454
8000. 3.0 0.15216
8000. 3.5 0.16891
8000. 4.0 0.188
8000. 4.5 0.2124
8000. 5.0 0.23201
8000. 5.5 0.24999
8200. 1.0 0.12252
8200. 1.5 0.1037
8200. 2.0 0.10055
8200. 2.5 0.10601
8200. 3.0 0.12181
8200. 3.5 0.1379
8200. 4.0 0.15679
8200. 4.5 0.18196
8200. 5.0 0.20274
8200. 5.5 0.22239
8400. 1.0 0.12702
8400. 1.5 0.09185
8400. 2.0 0.08372
8400. 2.5 0.08416
8400. 3.0 0.09259
8400. 3.5 0.10936
8400. 4.0 0.12766
8400. 4.5 0.1525
8400. 5.0 0.17425
8400. 5.5 0.19532
8600. 1.0 0.13683
8600. 1.5 0.0852
8600. 2.0 0.07051
8600. 2.5 0.067031
8600. 3.0 0.070125
8600. 3.5 0.08301
8600. 4.0 0.10003
8600. 4.5 0.12437
8600. 5.0 0.14721
8600. 5.5 0.16874
8800. 1.0 0.14781
8800. 1.5 0.08192
8800. 2.0 0.06115
8800. 2.5 0.053643
8800. 3.0 0.053191
8800. 3.5 0.05922
8800. 4.0 0.07537
8800. 4.5 0.09765
8800. 5.0 0.12014
8800. 5.5 0.14291
9000. 1.0 0.17957
9000. 1.5 0.08024
9000. 2.0 0.05439
9000. 2.5 0.0432
9000. 3.0 0.039928
9000. 3.5 0.042344
9000. 4.0 0.054482
9000. 4.5 0.069015
9000. 5.0 0.09534
9000. 5.5 0.1179
9200. 1.5 0.07903
9200. 2.0 0.049
9200. 2.5 0.035364
9200. 3.0 0.029166
9200. 3.5 0.028601
